goos: linux
goarch: amd64
pkg: arcoris.dev/pool
cpu: AMD Ryzen 7 7840HS w/ Radeon 780M Graphics     
BenchmarkCompare_ValueBaselines/realistic-alloc-only-16           	230633929	         5.341 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_ValueBaselines/realistic-alloc-only-16           	215448722	         5.128 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_ValueBaselines/realistic-alloc-only-16           	244235379	         5.261 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_ValueBaselines/realistic-alloc-only-16           	215496013	         5.534 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_ValueBaselines/realistic-alloc-only-16           	217183106	         5.534 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_ValueBaselines/realistic-alloc-only-16           	216023641	         5.534 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_ValueBaselines/realistic-alloc-only-16           	216885636	         5.474 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_ValueBaselines/realistic-alloc-only-16           	217872390	         5.308 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_ValueBaselines/realistic-alloc-only-16           	232084282	         5.373 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_ValueBaselines/controlled-raw-sync-pool-16       	31120905	        39.11 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-raw-sync-pool-16       	50561106	        42.77 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-raw-sync-pool-16       	50113491	        22.94 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-raw-sync-pool-16       	54926869	        29.12 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-raw-sync-pool-16       	53021862	        24.89 ns/op	         0 news/op	      48 B/op	       1 allocs/op
